#{"t_start": 1763592594.412727, "env_id": "None"}
r,l,t
4959.773232,1270,5.921329
1335.837026,607,8.621348
2269.889059,860,12.442697
3609.434777,1096,17.34903
2288.316996,865,21.215482
4960.669783,1263,26.89005
1583.109712,677,29.977142
1864.032298,762,33.462018
3400.877682,1036,38.143871
1414.781287,642,41.042309
2135.26024,798,44.660927
4960.620566,1284,53.767354
4623.633459,1351,59.975787
3438.088539,1048,64.809146
4960.320867,1285,70.752669
4407.967095,1216,76.422446
4968.466396,1245,82.172065
999.421696,547,84.702146
4963.305136,1263,90.518047
4951.680063,1324,99.856958
4957.664637,1291,105.814109
1629.335494,685,108.990431
2018.005033,884,113.144038
4957.557811,1285,119.205213
2612.913388,904,123.408816
4959.666112,1304,129.460384
1481.910731,638,132.42312
4971.589594,1222,138.117108
876.564965,516,140.516688
3490.542782,1123,149.042317
2978.881787,1044,153.948766
1131.584601,579,156.665103
1418.862211,673,159.82806
1309.0522,608,162.669905
4398.357488,1285,168.676155
3600.849947,1076,173.753549
3377.054239,1047,178.605169
4960.832096,1276,184.509318
4473.406363,1340,190.713678
4958.05034,1316,200.304451
4242.740638,1206,206.001029
3872.450602,1122,211.367878
4602.22684,1277,217.375541
4951.754984,1330,223.565771
4965.697248,1253,229.397598
1655.647603,706,232.678482
4569.435355,1386,239.123711
4953.439571,1325,248.465145
1191.868452,598,251.251734
1338.042727,647,254.325341
3069.123078,1116,259.523575
4958.389495,1282,265.489182
1994.212383,838,269.389647
4962.287393,1281,275.321638
4962.026249,1264,281.168396
4956.669143,1289,287.178749
4958.62412,1302,293.247948
4962.769872,1257,302.353556
4956.228058,1306,308.372474
955.727495,526,310.791147
4958.067188,1295,316.755414
1771.759267,724,320.133244
4412.084536,1211,325.778233
4968.825442,1221,331.448081
4965.858459,1249,337.19885
3526.432133,1138,342.464634
4962.895479,1261,351.619888
4967.206738,1248,357.410129
4973.430598,1206,362.951347
1052.214041,602,365.703202
4965.969503,1246,371.422615
4964.689084,1264,377.233642
2833.934663,1007,381.84323
4956.638496,1318,387.895922
4966.798609,1240,396.89394
2627.130448,872,400.887879
4628.55296,1310,407.018291
4489.470424,1280,412.865061
4957.184926,1291,418.824384
3967.44032,1077,423.760123
4970.550103,1210,429.29366
4963.466245,1275,435.134667
3282.854606,998,439.707911
4514.518787,1336,449.095855
4964.808921,1238,454.759048
2320.30728,864,458.721402
3520.593914,1009,463.324687
4971.226132,1218,468.924582
4957.608958,1303,474.901525
4974.943809,1182,480.314319
1121.237221,557,482.866222
4972.864394,1217,488.400773
4968.164715,1231,499.554197
4963.345517,1268,505.494592
4970.968649,1232,511.207954
996.085451,552,513.783825
4973.598404,1205,519.341505
1874.262457,829,523.184076
2732.685383,887,527.254749
4968.529933,1215,533.077523
4974.941999,1195,538.732383
3573.567693,1047,543.876892
3394.493825,901,551.554345
4964.556514,1271,557.566074
3964.757684,1123,562.944327
3439.341279,1029,567.816057
2373.567671,784,571.487955
3265.110969,1028,576.271756
4966.316009,1239,582.085994
4972.603955,1185,587.663814
4977.610488,1193,593.339585
4964.485371,1262,602.643152
1927.654767,713,605.972334
4963.896469,1260,611.904669
1184.454503,604,614.710491
934.943781,523,617.131923
4963.314406,1268,623.021185
2791.966853,836,626.910211
4962.764053,1267,632.934512
4965.172174,1238,638.636253
1193.112567,546,641.172983
3393.721114,1018,649.113785
4972.158472,1190,654.633059
4966.732585,1248,660.396997
4968.499444,1242,666.164748
2830.888298,898,670.314398
2860.271988,930,674.613557
4977.431185,1184,680.081903
2340.059638,886,684.150711
4968.446247,1212,689.738846
4973.242454,1202,698.534077
4961.15475,1277,704.405299
3245.698579,999,708.995688
4650.47298,1266,714.856602
4961.378369,1261,720.736342
4964.492294,1262,726.553834
4972.258744,1214,732.136677
4965.794147,1245,737.876954
4969.813551,1223,746.883559
4973.537664,1192,752.466798
2670.415973,891,756.594786
4971.4971,1215,762.236333
4959.8998,1281,768.1928
1024.462711,531,770.660977
4965.556038,1254,776.509555
4961.884523,1256,782.356877
4976.592443,1174,787.982389
4616.339221,1232,796.89719
4091.72827,1149,802.284962
4956.216004,1304,808.321961
4976.911575,1157,813.686004
4977.279591,1195,819.220786
4970.815725,1200,824.766555
4971.505464,1207,830.355028
4963.235439,1271,836.246442
4969.696305,1204,841.817461
2328.048817,793,848.664998
1684.069569,672,851.78218
4972.841045,1202,857.387145
4968.594868,1225,863.161953
4968.227069,1251,868.980504
4972.201681,1208,874.753609
4971.724087,1213,880.539413
4971.438321,1207,886.208413
4969.963829,1235,892.048928
4969.364285,1208,901.146855
3050.16206,1016,905.941383
4970.259825,1237,911.70909
1416.615297,601,914.524152
4966.100842,1250,920.346503
3905.150227,1130,925.614879
4967.58804,1226,931.35467
4081.271466,1088,936.473509
3942.53538,1115,941.623552
4973.743032,1186,950.45431
4974.461608,1173,955.948545
3982.793166,1191,961.508922
4976.206516,1190,967.030367
4979.897161,1175,972.476011
4971.968211,1225,978.133217
4973.217902,1187,983.64801
4451.155804,1186,989.161415
4968.721518,1245,1000.211904
4986.459579,1129,1005.416928
3631.055281,1031,1010.188429
4969.853769,1214,1015.796471
4957.552574,1289,1021.742535
4980.640384,1144,1027.012022
4962.703736,1263,1032.826136
2832.331234,867,1036.786403
4963.980218,1241,1042.481726
4974.781562,1180,1051.163242
4974.562288,1178,1056.620131
4477.697035,1173,1062.023784
2005.802696,777,1065.613597
2869.590655,929,1069.902508
4967.896552,1221,1075.553826
1209.437747,528,1077.989831
1669.991004,646,1080.984884
4972.661634,1198,1086.507303
3930.327012,1104,1091.608205
4979.588375,1162,1100.210155
4981.075566,1141,1105.46916
4974.481851,1182,1110.900042
4644.73492,1197,1116.432014
4986.461022,1106,1121.516096
4983.10591,1127,1126.703386
1349.895972,581,1129.404361
4973.721147,1183,1134.850406
3539.263346,995,1139.422094
4978.397254,1151,1147.947689
3154.873684,933,1152.23571
4968.177163,1246,1157.949693
4968.696746,1227,1163.597827
4365.913415,1229,1169.24311
4977.53779,1172,1174.640704
4982.933238,1128,1179.838246
4979.191715,1170,1185.24778
3513.375465,1017,1189.969844
4957.927409,1296,1198.962151
4970.755731,1220,1204.586226
4975.600039,1187,1210.046582
4976.898808,1177,1215.422311
4979.483129,1140,1220.762064
4978.541456,1170,1226.157478
4973.566507,1204,1231.667999
4973.631532,1192,1237.177984
4621.786514,1221,1246.180794
4970.369713,1199,1251.762183
2876.734333,880,1255.873859
4985.827748,1126,1261.079203
4979.025282,1171,1266.613422
4978.933239,1172,1272.013569
4968.283777,1246,1277.776687
4980.320301,1168,1283.172043
4980.595643,1131,1288.384293
4981.529933,1148,1296.919634
4983.362024,1112,1302.066339
4979.541794,1166,1307.455465
4983.704335,1136,1312.672537
4979.119265,1161,1318.056084
4982.11392,1145,1323.312385
4985.451219,1115,1328.468103
4969.89944,1234,1334.178031
1252.774648,622,1337.041364
4982.864049,1123,1345.490364
4985.32922,1122,1350.68588
1801.593624,686,1353.868494
4978.751296,1153,1359.184797
4987.76861,1123,1364.429696
4962.803707,1263,1370.266256
4983.538339,1114,1375.46781
4972.176843,1219,1381.133732
3557.291467,956,1385.570668
4978.907661,1175,1394.338869
4981.823539,1138,1399.654106
4976.324401,1182,1405.151457
4987.289167,1096,1410.241233
4987.107725,1130,1415.451106
4989.698676,1102,1420.538866
4979.860642,1146,1425.821748
4977.700077,1159,1431.179894
1558.600896,664,1434.251259
4981.143733,1165,1439.633596
4994.267433,1073,1447.842499
4974.58748,1193,1453.362173
4967.726295,1223,1459.036721
4987.971766,1101,1464.19797
4975.586282,1181,1469.646265
4991.27279,1101,1474.719516
4971.712012,1221,1480.350653
4978.512514,1147,1485.631703
4983.930091,1120,1496.132182
4977.601035,1157,1501.501294
4982.852904,1126,1506.738007
4983.31763,1141,1512.006077
4977.514063,1173,1517.408809
4984.737914,1116,1522.561351
4987.920386,1101,1527.657164
4980.204243,1162,1533.015008
4985.711991,1101,1538.211823
4992.997187,1060,1546.650253
1085.617741,494,1548.958044
4999.517115,1007,1566.271077
4999.997193,1038,1571.031323
4984.458033,1136,1576.223341
4989.269433,1082,1581.228511
1691.163552,615,1584.055583
4979.612492,1165,1589.412841
4979.141284,1150,1594.873493
5001.245167,1034,1599.789292
4330.650682,1028,1607.885325
4989.090661,1107,1613.069482
2886.739548,823,1616.905173
4989.281423,1111,1622.088175
4978.104146,1147,1627.430012
4990.747908,1096,1632.556249
4992.643349,1065,1637.502716
4995.16734,1043,1642.351206
4993.326573,1059,1647.230577
4995.904631,1044,1652.05042
4988.456845,1106,1660.46757
4988.087119,1089,1665.507849
4994.583478,1063,1670.402742
4999.105244,1045,1675.214127
4991.607125,1066,1680.11469
4981.081374,1131,1685.328445
4989.90322,1092,1690.381527
4988.175315,1085,1695.403611
4982.895931,1129,1700.672897
4995.53176,1066,1708.90733
4987.80313,1112,1714.049062
4998.29029,1052,1718.892119
4997.76418,1055,1723.778627
4980.143433,1147,1729.097031
4984.797772,1113,1734.262295
4986.654797,1122,1739.498352
4990.742533,1084,1744.537524
4993.977298,1053,1749.386353
4305.399769,985,1757.317564
4990.890256,1077,1762.281785
4988.287123,1111,1767.44117
4983.53796,1127,1772.719736
4989.810359,1084,1777.741586
4991.860798,1082,1782.856991
5002.427509,1031,1787.65359
4987.228075,1130,1792.909524
4984.924709,1120,1798.114784
4981.826179,1135,1806.645253
4989.599427,1097,1811.737153
5000.227673,1045,1816.567754
4998.542836,1030,1821.341925
4992.291422,1070,1826.313143
4993.341507,1085,1831.29846
4988.578429,1090,1836.310183
4982.174057,1120,1841.463276
4988.344932,1108,1846.521551
4998.2555,1017,1851.192284
5002.676454,1008,1859.086653
4999.823946,1030,1863.813181
5001.600217,1019,1868.508336
4997.737324,1030,1873.21268
5004.601343,1011,1877.838311
5001.971915,1035,1882.547251
4546.655483,999,1887.119776
4990.272155,1091,1892.127473
4989.263883,1076,1897.045706
